SatzID	Verb	Satz	Annotator A	Annotator B	Annotator C	Annotator D	Annotator E	Annotator F	Annotator G	Annotator H	Annotator I	
tueba-s10855-1	ermöglichen	Die im weitesten Sinne gemeinnützige, öffentlich-private Mischökonomie umfaßt ein breites Spektrum: von den alten Organisationen wie Caritas und Paritätischem Wohlfahrtsverband bis zu den modernen' sozialen Betrieben', die Arbeitslosen eine teilweise staatlich finanzierte Existenzgründung ermöglichen.	82764	*	*	*	*	*	*	*	76087	
tueba-s11149-3	lernen	So kommt es, daß ausgerechnet die linke Intelligenz nicht weiterweiß, denn sie hat bereits so viel gelernt und hat so viel damit zu tun, am Gelernten festzuhalten, daß sie nicht weiß, wie sie es bewerkstelligen soll, in dieser neuen Situation wieder etwas zu lernen.	*	*	*	*	*	77485	*	*	77499	
tueba-s11185-2	lernen	Unsere Politiker sind warm, denn sie müssen nicht mehr lernen, sondern nur noch dem Richtigen zum Durchbruch verhelfen.	77485	*	*	*	*	*	77485	*	77485	
tueba-s12215-1	machen	Der Züricher' Tages-Anzeiger' kommentiert die europäische Diplomatie im Kosovo-Konflikt: Zwar machen europäische Politiker reihenweise ihre Aufwartung bei Slobodan Miloevic.	75583	87005	*	*	*	*	82751	*	82751	
tueba-s17805-0	finden	Sie findet eine Halbtagsstelle, beantragt ein behindertengerechtes Auto und macht den Führerschein dafür nach.	77553	82307	*	*	*	*	*	*	77553	
tueba-s25237-0	machen	Pastor Bernd Kähler von der nahegelegenen Kirchengemeinde macht den Aberwitz des Umverteilungsverfahrens deutlich:	82751	*	*	*	*	*	*	*	73302	
tueba-s26436-1	machen	Es gehe nicht an, daß in Bonn weiterhin das Wirtschaftsministerium die Gesundheitspolitik mache, und die Zigarettenlobby ihre Interessen durchsetze.	82751	*	*	*	*	*	*	*	78519	
tueba-s27557-0	machen	- Die seit 1920 gewachsene enge Verzahnung der bisherigen Berliner Stadtbezirke und die bis zum Mauerabbau 1989 zurückgestaute, nun aber verstärkt einsetzende Ausdehnung Berlins ins Umland machen eher eine Zentralisierung der Verwaltung und eine Vergrößerung des Stadtgebietes erforderlich als das Gegenteil.	87005	*	*	*	*	*	*	*	73302	
tueba-s30396-2	nutzen	Der Anwalt arbeite an der» Führungsakademie für innere Angelegenheiten« auf Kuba und erteile Ratschläge, wie die Erfahrungen der DDR im Fall eines politischen Umsturzes in Havanna genutzt werden könnten.	*	*	*	*	*	76258	*	*	76258	
tueba-s33726-3	sagen	' Wenn man die Leute morgens gleich entläßt, ist denen nicht geholfen und uns nicht', sagt der Sozialarbeiter.	*	78741	*	*	*	*	*	*	78741	
tueba-s33868-1	glauben	Die Lehrküche der Stadtwerke am Wall wurde, glaube ich, erst in den Sechzigern aufgegeben.	77245	*	*	*	*	*	*	*	77229	
tueba-s36407-1	machen	Der Film ist handwerklich gut gemacht, sein Anspruch ist, Aufmerksamkeit für die Verfolgten zu erregen, doch die Botschaft ist niederschmetternd: Nie ging es der Linken so schlecht wie heute.	78519	*	*	*	85607	*	*	*	82751	
tueba-s38270-0	machen	Premiere von O'Caseys' Das Ende vom Anfang' im Schauspielhaus: Ein schlecht synchronisiertes Komiker-Paar macht aus dem Zwei-Personen-Repertoire-Hit abgestandenen Slapstick	82751	*	*	*	*	*	*	*	87005	
tueba-s40469-0	machen	Aber was macht Crumb, wenn er auf seinen postkatholischen, nostalgisch-sexistischen Späthippieismus nicht zurückgreifen kann?	75583	*	*	*	*	*	*	*	82751	
tueba-s41585-0	geben	Welche Klänge geben dem Hörspiel, welche Bilder dem Film seinen unwiderstehlichen Reiz?	*	130719	*	*	*	130719	*	*	130719	
tueba-s52209-4	vergessen	Wenn Francoise-Regis Cambuzat Lou Reeds' Afterhours' zu feinem Liebesmehl zerreibt, wenn Klezmer-Fetzen und Chanson-Melodien ihre geistige Nachbarschaft feiern, wenn Flamenco und Nocturne in einem seligen Abgesang auf die Vertreibung der Nachtmahre aus den Gehirnen zu Tränen rühren, dann ist alle Müdigkeit vergessen, und das Herz wächst auf das Doppelte.	77698	*	*	*	*	*	*	*	77698	
tueba-s52796-3	nutzen	Das Londoner Verteidigungsministerium sagte, die Deponie- sie liegt genau unter der Fährstrecke zwischen Nordirland und Schottland- sei wohl schon seit 1920 genutzt worden.	*	*	*	*	*	129218	*	*	129218	
tueba-s53187-1	nutzen	Das Spiel konnte auch in der Innenpolitik gut genutzt werden.	*	*	*	*	*	76258	*	*	76258	
tueba-s63199-1	machen	Denn der nächste Halt- wir haben immerhin schon 1,5 Kilometer Strecke gemacht- ist Berlin-Charlottenburg.	*	*	*	*	*	*	82751	*	85607	
tueba-s65262-6	bleiben	Nachdem Kisten und Gepäck auf der Kammer weggeschlossen sind- du bekommst nämlich gar nichts davon, weil sie dir das Argument reindrücken, es lohnt nicht, die Plomben zu öffnen, weil man ja doch nicht dort bleibt.	73646	*	*	*	*	*	*	*	1	
tueba-s69048-5	machen	Dieser hatte seinem Gastgeber versichert, Indien werde sich nicht in die inneren Angelegenheiten Chinas einmischen und keinesfalls zulassen, daß von indischem Boden aus Politik gegen China gemacht werde.	*	*	*	*	*	*	85607	*	78519	
tueba-s69874-4	kaufen	Damit hatte er von vornherein unterstellt, was erst noch zu beweisen war, daß nämlich die Journalistin nicht irgendeinen, sondern tatsächlich den beim Anschlag gefundenen Wecker 6457 gekauft hat.	*	*	*	*	*	74296	*	*	74296	
tueba-s76278-2	kaufen	Arbeiterehepaare waren es zumeist, die in den Armenvierteln der Stadt wohnten und 1981 von Straßenhändlern das angebliche Olivenöl billig gekauft hatten, das dann das Leben vieler Familien völlig zerstörte, Tod und lebenslange Krankheit herbeiführte.	74296	*	*	*	74296	74296	*	*	74296	
tueba-s84114-1	nutzen	Aber wir haben den Vorwand genutzt, um die Stadtplanung fortzuführen, die nach dem Ende der Diktatur von dem Architekten Oriol Bohigas entworfen wurde.	76258	*	*	*	*	76258	*	*	76258	
tueba-s84274-0	suchen	Ich suche in den Gesichtern.	82329	*	*	*	*	*	*	*	82329	
tueba-s84439-0	scheinen	Aber nun scheint es doch ernst zu werden mit der Reduzierung des Flugverkehrs.	*	*	*	*	*	73621	*	*	73621	
tueba-s97121-2	geben	Man kann noch die Funktionen testen, es gibt die Möglichkeit elektrophysiologischer Untersuchungen.	*	73264	*	*	*	*	*	*	73264	
tueba-s99362-2	suchen	' Quartiersgespräche' nennt Maier seinen Ansatz, mit dem er' die Menschen in den Stadtteilen an einen Tisch' bringen und mit Investoren, Architekten, Bürgerinitiativen, Politik und Verwaltung nach Lösungen für örtliche Konflikte wie Verkehrsführung, Unsicherheit und Anonymität in Hochhaussiedlungen oder Wohnbelegung suchen will.	82329	*	*	*	82329	*	*	*	82329	
tueba-s101251-4	machen	Sie haben gelernt, wie man sich die Hilfe des Westens sichert, und sie sind fest entschlossen, sich dies zunutze zu machen, um ihre Unabhängigkeit zu festigen und das einstige Machtzentrum zu zwingen, ein neues Verhältnis mit ihnen auszuhandeln.	*	87005	*	*	78519	*	*	*	73302	
tueba-s102554-0	machen	Die Architektur, die ich mache, hat nur einen kleinen Markt.	78519	*	*	*	*	*	*	*	85607	
tueba-s104072-2	wissen	Es fällt ihnen nicht schwer, sich daran zu halten, denn sie alle wissen aus Erfahrung, wie ausweglos die Lage hinter einer Wohnungstür sein kann.	77221	*	*	77221	77221	77221	77221	*	77221	
tueba-s82031-0	glauben	Glauben Sie bitte nicht, ich schenke Ihnen die Limonade einer wäßrigen wohlfeilen Ermutigung ein.	77245	*	*	77245	*	*	*	*	*	
tueba-s3137-0	glauben	Schon heute, glaubt der Magdeburger Meister, ist der Schaden für die Partei groß.	163124	*	163124	75123	*	*	1	*	*	
tueba-s3372-0	übrig#haben	Hamburg hat für das Stadtentwicklungs-Projekt' Hafen City' keine Steuergelder übrig, sondern will die Kosten für die Infrastruktur aus den Grundstückserlösen finanzieren.	*	78741	*	78848	*	*	*	*	*	
tueba-s4324-0	sagen	Finanzvorstand Joachim Kröske sagte, daß die Deutschen im vergangenen Jahr auch mit den Franzosen über eine Fusion verhandelt hätten, jedoch ohne Erfolg.	77221	*	*	77221	*	*	*	*	*	
tueba-s14774-0	wissen	Schlingensief weiß, daß er sein Theater, wenn überhaupt, nur an diesem Haus machen kann, und das Haus ist selbstbewußt genug, um zu wissen, daß die Gefahr, ohne schlingensiefartige Aktivitäten in Routine zu versacken, größer ist als die, mit ihm auseinanderzubrechen.	*	*	*	74296	*	74296	*	*	*	
tueba-s14795-1	kaufen	Und Murdoch hatte TM3 vor allem gekauft, um den Bertelsmann-Konzern zu ärgern, weil der ihn beim Sender Vox( den sich beide teilen) nicht richtig machen läßt.	*	*	*	78848	*	78741	*	*	*	
tueba-s20387-5	sagen	' Für Mai und Juni gibt es langsam keine Betten mehr, und unsere Erfahrung zeigt, daß die gesamte Saison ausgebucht sein wird', sagt der Präsident des örtlichen Hotelverbands, Pedro Canellas.	*	77221	*	77221	77221	77221	*	*	*	
tueba-s30602-1	wissen	Die Patrizier sind, da sie den Grund für sein plötzliches Verschwinden nicht wissen, voller Sorge.	*	*	*	78848	*	78741	*	*	*	
tueba-s33743-3	sagen	Die Raumsituation der Schule Schmidtstraße ist also untragbar,' es ist sehr viel Idealismus erforderlich, um hier überhaupt Schulunterricht zu ermöglichen', sagt Leiterin von Bloh.	*	77221	*	77221	*	*	*	*	*	
tueba-s37597-0	wissen	Nur wer weiß, wie der Betrieb abläuft, kann etwas von sich und anderen fordern.	*	75123	*	75123	*	*	*	*	*	
tueba-s41099-5	übrig#lassen	Er mache eine' Art Musik, die niemand mehr macht', sagt er da, und: man müsse' gute Songs und Gefühle' produzieren und immer einen Rest Geheimnis übriglassen.	78848	*	*	78848	78848	*	*	*	*	
tueba-s46635-0	sagen	Sagt Angel Cuellar, der zu Anfang dieser Saison vom andalusischen Club zum FC Barcelona gewechselt ist und beim 5:1-Sieg der Katalanen über Betis zuschauen mußte.	73759	78848	*	73759	73759	78741	*	*	*	
tueba-s46897-2	sagen	Ob das so sein muß oder nicht, darüber sagt der Bildband nichts.	77245	*	*	77245	*	*	*	*	*	
tueba-s49203-0	glauben	' Ich glaube, da kann ich Ihnen wenig helfen', antwortet die Kandidatin und drückt der alten Dame ein wenig ratlos die Broschüre über grüne Wohnungspolitik in die Hand.	75123	75123	*	75123	*	75123	*	*	*	
tueba-s49978-0	übrig#lassen	Das Videoclip-Einsatzbriefing aus dem UN-Hauptquartier läßt an Deutlichkeit nichts zu wünschen übrig:	*	*	*	75123	*	75123	*	*	*	
tueba-s53757-2	übrig#lassen	Selbst für den französischen Markt haben AC produziert, aber auch von dort läßt der finanzielle Rückfluß bisher zu wünschen übrig.	78741	*	*	78848	*	78741	*	*	*	
tueba-s56843-2	sagen	' Thoma ist sicher von Absprung und Flug her einer der Weltbesten, aber die Landung gehört auch dazu', sagte Österreichs Toni Innauer.	78741	78741	*	78848	*	*	*	*	*	
tueba-s62038-0	sagen	' Hier', sagte ein Joachim zu seiner Büroleiterin,' mehr ist heute nicht drin.'	*	*	*	75123	*	75123	*	*	*	
tueba-s68719-3	übrig#lassen	Die Zusagen in Sachen Umweltverträglichkeit seitens der brasilianischen Regierung sind äußerst dünn- ganz abgesehen davon, daß die Selbstverpflichtung Brasilias bei der ersten Kredittranche mehr als zu wünschen übrig ließ: Die Erstellung eines detaillierten Aktionsprogramms, systematische Beobachtung der sozialen und ökologischen Schäden, separate Erfassung der Ausgabenkategorien für soziale und ökologische Umsiedlungskosten, Aufstockung personeller Kapazitäten in den Umweltabteilungen, Einrichtung von Studien, Arbeitsgruppen usw.	75123	*	*	75123	*	*	*	*	*	
tueba-s74209-7	übrig#lassen	' Ich verstehe wohl, daß Menschen, die alles auf ihre Person beziehen, sagen, die Revolution sei zu Ende, wenn diese sie in eine Lage gebracht hat, die für sie als Einzelmenschen nichts mehr zu wünschen übrigläßt.	*	78334	*	77245	*	*	*	*	*	
tueba-s77213-0	glauben	Ehmke: Ich glaube, daß es da zwei Elemente gibt.	*	*	*	78848	*	78741	*	*	*	
tueba-s79069-1	sagen	' Sehen Sie', sagt eine Kollegin, die sonst in der Handarbeitsabteilung steht,' das Geld wird ja nicht mehr.	75123	*	*	75123	*	*	*	*	*	
tueba-s80879-2	übrig#lassen	Jederzeit waren wir kündbar, wenn etwa' the right attitude' zu wünschen übrig ließ; trübselige Arbeitsbedingungen also und Kontrollmaßnahmen, die in Deutschland einfach illegal wären.	77454	*	*	74518	*	*	77454	*	*	
tueba-s83751-0	ertragen	Die größten Lasten und die härtesten Lebensbedingungen ertrugen die Bauern.	75123	75123	*	75123	1	*	*	*	*	
tueba-s85053-0	übrig#lassen	Die Haltung der Anchuraner läßt unterdessen an Klarheit nichts zu wünschen übrig:	78848	78741	*	78848	78741	*	*	*	*	
tueba-s87597-4	sagen	Leute wie Fritz J. Raddatz werden immer da konkret, wo sie von ihrer eigenen( beschränkten) Befindlichkeit abstrahieren müßten, und bleiben immer dann abstrakt, wenn sie sagen müßten, was sie eigentlich meinen.	*	*	*	77221	77221	77221	*	*	*	
tueba-s92619-4	wissen	Wenn eine Frau ein Kind will und, weil nichts passiert, nach sechs Monaten zum Gynäkologen geht, ist sie oft in der ganzen medizinischen Tretmühle, bevor sie überhaupt weiß, was mit ihr passiert.	*	*	*	75123	*	75123	*	*	*	
tueba-s98900-1	übrig#lassen	Ein Anknüpfen an die letzte Schaffensphase vor dem großen Rückzug in knurrige Folktraditionals, das Fastverstummen des in den Sechzigern gefundenen, über die Siebziger durchgehaltenen, in den Achtzigern schon schwer zerfaserten Legendentons, in den Neunzigern erst wieder aufgenommen mit der triumphalen, zugleich heavy testamentarischen' Time Out Of Mind'- Platte vom vergangenen Jahr; ein Stück, das von Anbeginn an nichts übrigläßt: zerbrochene Leben, zerbrochene Flaschen, zerbrochene Betten, zerbrochene Hits-' ain't no use jivin', ain't no use jokin', everything is broken'.	*	77221	*	77221	*	*	*	*	*	
tueba-s100092-1	wissen	Natürlich ist ihm unwohl, und er' weiß jetzt schon, was passiert, wenn die Langeweile kommt' vor oder während des WM-Turniers.	*	142151	*	77221	77221	77221	*	*	*	
tueba-s100209-0	wissen	' Wir wissen ja alle, daß Westerwelle recht hat', sagt Paul Friedhoff.	*	*	*	77221	*	77221	*	*	*	
tueba-s100319-1	wissen	Der 43jährige stellvertretende Leiter der Mudra arbeitete acht Jahre als Streetworker in der offenen Drogenszene und weiß, wo der Heroinkonsum endet.	77221	*	*	77221	*	*	77221	*	*	
tueba-s100321-0	wissen	Alfred weiß das auch:	77221	*	*	77221	*	*	77221	*	*	
tueba-s100346-0	wissen	' Ich weiß gut, wie das war, als ich richtig schußgeil war.'	77221	77221	*	77221	*	*	77221	*	*	
tueba-s100383-0	wissen	Heinz Ausobsky von der' Mudra' weiß aus informellen Gesprächen, daß vor allem die Standesorganisation der Ärzte und die Kassenärztliche Vereinigung auf die Gesetzesänderung gedrängt hätten.	*	*	1	142151	*	77221	*	*	*	
tueba-s100511-1	wissen	Zum Super-GAU für den Fußballbesessenen gehört aber, keinen Fernseher in seiner Nähe zu wissen, während Bertis Bolzer der WM-Glorie in Frankreich hinterhergrätschen- oder keine fußballbegeisterte Gesellschaft.	*	*	77221	77221	*	*	*	*	*	
tueba-s100601-0	wissen	Ich wüßte dafür auf jeden Fall eine bessere Verwendung.	*	*	*	77221	*	*	142151	*	*	
tueba-s100714-0	wissen	Und Fehmarns parteiloser Bürgermeister Klaus Tscheuschner weiß:	*	*	*	77221	*	*	142151	*	*	
tueba-s100719-0	wissen	' Wissen Sie', sinniert Betriebsrat Heinecke,' eine Brücke kennt auch keinen Streik.	77221	*	*	77221	*	77221	*	*	*	
tueba-s101803-1	wissen	Ganz Dolgenbrodt soll von der Brandstiftung gewußt haben.	*	*	*	77221	77221	77221	*	*	*	
tueba-s101833-1	wissen	' Horizontal auf dem Fünfsitzer liegend, gewöhnliches Rennmodell 1920, ohne Führungsstange, Reifen 15 Millimeter, Radentwicklung siebenundfünfzig Meter vierunddreißig', so fuhr das Fünferteam( neben Jacobs noch Georges Webb, Sammy White, Bill Gilbey und Ted Oxborrow) über eine 10.000-Meilen-Piste, die von Frankreich bis Sibirien( sie wissen schon, die bekannte Strecke Paris-Schwerte-Moskau) parallel zu den Schienen des konkurrierenden' Rapidexpress' verlief, wenn man der Schilderung des historischen Ereignisses im New York Herald glaubt.	77221	*	*	77221	*	*	*	*	*	
tueba-s101847-4	wissen	Für Jarry jedenfalls, diesen Fahrradnarren aus der Bretagne, hat sich selbst Jesus nicht per pedes, sondern per Pedal nach Golgatha aufgemacht: In seiner Erzählung' Die Passion als ein bergauf führendes Radrennen betrachtet', kommt es für den Sohn Gottes im Rennen gegen die zwei Schächer( sie wissen schon, die mitverurteilten Diebe) nach anfänglich gutem Start und zwei unbedeutenden Stürzen zu dem' beklagenswerten, uns allen bekannten Zwischenfall' in der zwölften Runde:	77221	*	*	77221	77221	*	*	*	*	
tueba-s101849-0	wissen	Wir wissen ja, daß er das Rennen als Flieger fortsetzte, aber das gehört bereits zu einer anderen Geschichte.'	*	*	*	77221	*	77221	*	*	*	
tueba-s101934-0	wissen	Meine Mutter weiß( mal wieder) die Antwort: Natürlich heißt der Pümpel Saugglocke!	77221	*	*	77221	*	*	*	*	*	
tueba-s101957-3	wissen	Und wer mal ausprobiert hat, wie( in beiden Fällen) bescheuert die Uhr mit anderen Zeigerstellungen aussieht, weiß, warum die Uhr lieber lacht.	*	*	*	77221	*	77221	*	*	*	
tueba-s102085-0	wissen	Der Leiter des Fachbereichs wußte von meinem Problem.	77221	*	*	77221	*	*	*	*	*	
tueba-s102128-0	wissen	Weil die Leute wissen wollten, was ich eigentlich tue, taufte ich es Psychosoziologie des wissenschaftlichen Wissens.	77221	*	*	77221	*	*	*	*	*	
tueba-s102213-0	wissen	Pätz, seit knapp einem Jahr Nachfolger des in Ruhestand getretenen Andreas Feldtkeller, weiß auch, wie solche Konflikte zu lösen sind: durch Moderation.	*	77221	*	77221	*	*	*	*	*	
tueba-s102216-2	wissen	Pätz, der zuvor in der Altbausanierung in Leipzig-Connewitz gearbeitet hat, weiß, daß er damit viel verlangt.	142151	77221	*	77221	77221	*	*	*	*	
tueba-s102217-0	wissen	Aber die Bewohner der Tübinger Südstadt wissen auch, worauf sie sich eingelassen haben.	77221	*	*	77221	*	*	*	*	*	
tueba-s102293-2	wissen	Was für ein falscher Gedanke, denn im Islam gibt es keinen Zwang, und man kann nicht wissen, wer gut oder schlecht ist.'	*	77221	*	77221	77221	*	*	*	*	
tueba-s102318-1	wissen	Nachdem sie fast 40 Jahre lang für die SPD in Bremerhaven Kommunalpolitik machte- zuletzt sechs Jahre lang als bislang einzige Vorsteherin der Stadtverordnetenversammlung- weiß sie es besser.	*	*	*	77221	*	77221	*	*	*	
tueba-s102341-2	wissen	Aber welche Verbrechen sich im Krieg tatsächlich zutrugen, was wirklich alles geschah-' das wußte ich nicht.'	77221	*	*	77221	77221	*	*	*	*	
tueba-s102421-0	wissen	Kaum jemand weiß, wohin es gehen soll.	*	*	*	77221	*	77221	*	*	*	
tueba-s102765-0	wissen	Ich weiß es noch wie gestern: meine erste Schicht absolvierte ich an dem Freitag vor dem WM-Finale in der Ruhrlandhalle.	77221	*	*	77221	*	77221	*	*	*	
tueba-s102870-0	wissen	Schon am Sonntag wußte das halbe Viertel, daß am Montagabend wieder mal das Fernsehen kommt.	77221	*	*	77221	*	77221	*	*	*	
tueba-s103097-0	wissen	Alles, was wir von der Welt wissen, wird uns dort Tag für Tag, Spiel für Spiel bestätigt.	*	*	*	77221	*	77221	*	*	*	
tueba-s103109-1	wissen	Er entwickelt ständig neue Theorien, weil er weiß, daß es im Fußball genauso ist, wie es Karl Marx in seiner Dialektik erklärt hat:	77221	*	*	77221	*	*	*	*	*	
tueba-s103164-0	wissen	Man weiß ja, daß Dokumentarfilme viel weniger Geld kosten.	*	*	*	78848	77221	77221	*	*	*	
tueba-s103427-0	wissen	Wissen die Veranstalter nicht, daß sich erst morgen das Datum zum siebten Mal jährt, an dem der Hauptstadtbeschluß gefaßt wurde, war es doch der 20. Juni 1991, ein Donnerstag?!	142151	*	*	142151	142151	*	*	*	*	
tueba-s103503-0	wissen	Das Protestpotential gegen das AKW, das weiß auch die einzige Grüne im Gemeinderat, wird durch die Abhängigkeit korrumpiert.	77221	*	*	77221	*	*	*	*	*	
tueba-s103529-2	wissen	' Wofür gibt es dann eigentlich Grenzwerte' will ein Zuhörer darauf wissen.	*	*	*	77221	77221	*	*	*	*	
tueba-s103698-1	wissen	Ich würde zum Beispiel schon mal gerne wissen, aus welcher Motivation heraus eine junge Frau wie Tanja so Scheiße sein kann.	*	*	*	77221	77221	*	*	*	*	
tueba-s103705-1	wissen	Ich hab' momentan einfach den Eindruck, daß die Storyliner bei Frank Levinsky nicht mehr wissen, wie 's weitergeht...	*	*	*	77221	*	77221	*	*	*	
tueba-s103808-1	wissen	Miriam: Und da gehört weiß Gott auch eine gehörige Portion Glück dazu.	*	*	*	77221	*	77221	*	*	*	
tueba-s103980-0	wissen	Sie wußte, wie jetzt bekannt wurde, den Gatten zu beruhigen:	77221	*	*	77221	*	*	*	*	*	
tueba-s103991-2	wissen	Wie ging es dann weiter? wollte der Untersuchungausschuß wissen.	*	77221	*	77221	*	77221	*	*	*	
tueba-s104048-0	wissen	Aber der Messie weiß aus Erfahrung: Solch lachendes Geplänkel mündet, wenn er beiseite tritt, in peinlichem fassungslosem Schweigen.	*	*	*	78848	*	*	78741	*	*	
tueba-s104203-0	wissen	Wissen Sie, das Schweißen von Aluminium ist eine diffizile Arbeit mit Leuten, die wir uns über Jahre herangezogen haben.'	*	*	*	78848	*	78741	*	*	*	
tueba-s104250-0	wissen	Und, Voss, Sie wissen ja, was man über das Bier des Sponsors sagt?!	*	78848	*	78848	*	*	*	*	*	
tueba-s104471-0	wissen	Daß er um die Ironie dieser Sehnsucht nach der verlorenen Weiblichkeit durchaus weiß, deutet Sofri nur an:	*	*	*	78741	*	78848	*	*	*	
tueba-s104525-1	wissen	Den Vorwurf von GM an UAW versteht nur, wer um das stereotyp gewordene Zerrbild des amerikanischen Gewerkschaftlers weiß: Gewerkschaftlich organisierte Elektriker z.B. weigern sich, einen Fernseher zu verrücken, weil diese Aufgabe nicht in ihrer Arbeitsbeschreibung steht und weil sie zum Vertragsbereich einer ganz anderen Gewerkschaft gehört.	*	73759	*	73759	*	*	*	*	*	
tueba-s104593-0	wissen	Ich weiß nicht, soll es 40 Millionen Ausländer geben, bevor das Einwanderungsland eingesehen wird.	*	73584	*	*	73584	*	*	*	*	
tueba-s104638-2	sagen	Er weigere sich,' einen Schutzwall um die Innenstadt zu bauen', sagte Hattig weiter.	129656	*	*	*	129655	*	*	*	*	
tueba-s104646-1	sagen	Sie müssen den Menschen sagen, ob sie sie weiter mit kleinteiligen ökologischen Projekten nerven wollen, die ihnen keine Arbeitsplätze bringen.'	73621	*	*	*	73621	73621	73621	*	*	
tueba-s104647-4	sagen	Das Parlament und der Senat müßten sich von der Vorstellung verabschieden, daß die Freizeitparks' nur im Doppelpack' zu haben seien, sagte Trüpel daraufhin.	*	73302	*	*	85607	*	*	*	*	
tueba-s104677-0	sagen	Er sagt Sätze, die nach Tony Blair klingen:	78741	*	*	*	78848	*	*	*	*	
tueba-s104739-1	sagen	Es gibt, anders gesagt, keine Rationalisierung mehr für den linken Unwillen, sich mit dem kommunistischen Terror zu beschäftigen.	78741	*	*	*	78848	78848	*	*	*	
tueba-s292-0	mögen	Daß auch türkische Eltern sie deshalb mögen, heißt aber nicht, daß die Türkin langweilig wäre.	73759	*	*	*	78741	*	*	*	*	
tueba-s2785-1	finden	Insgesamt 18 Personen sind es, die Platz finden müssen.	*	*	*	*	83406	*	83406	*	*	
tueba-s3136-0	scheinen	Soviel scheint klar: Die Zeit arbeitet gegen die Grünen.	*	78960	*	*	78960	*	*	*	*	
tueba-s3627-0	machen	Benignis melancholische Clownerie und das vorzügliche Spiel aller Beteiligten machen dieses ebenso bewegende wie burleske Lagermärchen zu einer hintergründigen Tragikomödie.'	74296	*	*	*	74296	74296	74296	*	*	
tueba-s5505-2	sagen	Wie gesagt: Ich schreibe den Mist in dem Vorwort, woraufhin mir einige Frauen gehörig die Meinung gesagt haben.	*	*	*	*	78741	73759	*	*	*	
tueba-s6538-3	sagen	Zudem seien sieben Haftbefehle gegen mutmaßliche Bandenmitglieder vollstreckt worden, sagte gestern der Leiter der Abteilung Organisierte Kriminalität im Landeskriminalamt, Manfred Quedzuweit.	77245	77229	77229	*	77245	*	*	*	*	
